MLP__hidden_layer_sizes,train,validation
"(57,)",0.9472146739130436,0.933695652173913
"(28,)",0.9330842391304348,0.9230978260869565
"(114,)",0.953125,0.9355978260869566
"(57, 57)",0.9614809782608695,0.9402173913043479
"(28, 28)",0.9530570652173912,0.9353260869565216
"(114, 114)",0.9644701086956522,0.9421195652173913
"(57, 57, 57)",0.9793478260869565,0.9445652173913043
"(28, 28, 28)",0.9451086956521738,0.9315217391304348
"(114, 114, 114)",0.952649456521739,0.9375
