MLP__alpha,test,train
10.0,0.8384103837331247,0.8404099455153957
3.1622776601683795,0.8475695456580054,0.8521177898547411
1.0,0.8477767308458144,0.8640744547921809
0.31622776601683794,0.8479837271135698,0.8621473533230594
0.1,0.8474037597237473,0.8705191101046929
0.03162277660168379,0.8452486628002461,0.8675144752440358
0.01,0.8446684893158196,0.8693793683430722
0.0031622776601683794,0.8467818950184143,0.8625618159983162
0.001,0.8456214450022597,0.8693587825125902
0.00031622776601683794,0.8463259364691915,0.8666336956293499
0.0001,0.8445856564596168,0.8670379169183535
3.1622776601683795e-05,0.8437569844065818,0.8716694668377258
1e-05,0.8465332590534033,0.8645199228885879
