KNN__n_neighbors,train,test
1,1.0,0.7011764705882353
4,0.8377777777777778,0.7394117647058824
7,0.812627442002442,0.8004411764705882
10,0.7751243894993894,0.7629411764705882
13,0.7847474053724054,0.7879411764705881
16,0.7783981990231991,0.7629411764705882
19,0.7656997863247863,0.7629411764705882
22,0.7625251831501831,0.7629411764705882
25,0.7625251831501831,0.7629411764705882
28,0.7625251831501831,0.7629411764705882
31,0.7625251831501831,0.7629411764705882
34,0.7625251831501831,0.7629411764705882
37,0.7625251831501831,0.7629411764705882
40,0.7625251831501831,0.7629411764705882
43,0.7625251831501831,0.7629411764705882
46,0.7625251831501831,0.7629411764705882
49,0.7625251831501831,0.7629411764705882
