alpha,test,train
1e-05,0.8480253152871746,0.8647582122498745
0.0001291549665014884,0.8490201854636753,0.8673897772414756
0.0016681005372000592,0.8488542277839141,0.8636598976471135
0.021544346900318846,0.8493931050620915,0.8674414983890966
0.2782559402207126,0.8512165270697748,0.8659807213740478
3.593813663804626,0.8451660188640966,0.8484292676404014
46.41588833612782,0.8093167641859103,0.8098242000564844
599.4842503189421,0.7506734119713055,0.7507667244950729
7742.636826811277,0.7510464689661241,0.7510464592650686
100000.0,0.7510464689661241,0.7510464592650686
