MLP__hidden_layer_sizes,train,validation
"(70,)",0.8665609560224569,0.8493931909348431
"(35,)",0.8606032818468574,0.846740907954071
"(140,)",0.862157649458862,0.8481082511906795
"(70, 70)",0.8631727415263478,0.8475281635790045
"(35, 35)",0.864975796619896,0.8475278029134478
"(140, 140)",0.8699388861914896,0.845994656568031
"(70, 70, 70)",0.871098913197832,0.8480256587781809
"(35, 35, 35)",0.8684776668859655,0.8437564863446225
"(140, 140, 140)",0.8725287373942383,0.8452892548499319
