max_depth,train,test
1,0.7947690217391304,0.7853260869565217
2,0.8645380434782609,0.8652173913043478
3,0.8948369565217391,0.8894021739130435
4,0.9150815217391305,0.9032608695652173
5,0.9265625,0.9059782608695652
6,0.9368206521739131,0.9130434782608695
7,0.9456521739130436,0.9141304347826086
8,0.9545516304347826,0.9184782608695652
9,0.9613451086956522,0.9146739130434781
10,0.9680027173913043,0.9149456521739129
11,0.9728260869565218,0.9179347826086955
12,0.976086956521739,0.9138586956521738
13,0.9792119565217392,0.9146739130434781
14,0.9815896739130435,0.9130434782608695
15,0.9833559782608695,0.9130434782608695
16,0.984850543478261,0.9127717391304347
17,0.9876358695652174,0.9149456521739129
18,0.9889266304347826,0.9125
19,0.9900135869565219,0.9168478260869565
20,0.9911684782608695,0.9152173913043479
21,0.992391304347826,0.913858695652174
22,0.9934782608695653,0.9086956521739131
23,0.9951086956521739,0.9127717391304347
24,0.9963994565217392,0.9122282608695652
25,0.9970108695652173,0.9154891304347824
26,0.997758152173913,0.9119565217391304
27,0.998233695652174,0.9095108695652174
28,0.9987771739130435,0.9084239130434784
29,0.9991847826086957,0.9084239130434784
30,0.9995923913043478,0.9105978260869565
31,0.9995923913043478,0.9084239130434781
32,0.9995923913043478,0.9054347826086955
33,0.9996603260869567,0.9086956521739131
34,0.9997282608695652,0.9051630434782607
35,0.9997961956521738,0.9078804347826086
36,0.9997961956521738,0.9059782608695652
37,0.9997961956521738,0.9046195652173912
38,0.9997961956521738,0.9084239130434784
39,0.9997961956521738,0.9084239130434781
40,0.9997961956521738,0.9067934782608695
41,0.9997961956521738,0.9076086956521741
42,0.9997961956521738,0.9095108695652174
43,0.9997961956521738,0.9057065217391305
44,0.9997961956521738,0.9078804347826086
45,0.9997961956521738,0.9059782608695652
46,0.9997961956521738,0.9057065217391305
47,0.9997961956521738,0.9078804347826086
48,0.9997961956521738,0.9065217391304348
49,0.9997961956521738,0.9086956521739129
