n_estimators,train,test
1,0.7526168717551981,0.7526168812529075
2,0.8164638067525845,0.8164640568280467
5,0.842632544634828,0.8419931432760952
10,0.8498910932384737,0.8498556830458455
20,0.8523776785076773,0.8519870937534669
30,0.8550774595262158,0.854497337166829
45,0.859233660576947,0.8574339524606011
60,0.8619334254714841,0.8604652647134475
80,0.8634727607258871,0.8613650989545082
100,0.8654146975668426,0.8633068353099631
