C,test,train
0.01,0.8479010144792193,0.8498487624218676
0.1,0.848274122997689,0.8498591208218633
1.0,0.8482741058231387,0.8496415353783213
10.0,0.8313236232719451,0.8342244412894392
100.0,0.775747525522992,0.7786894003541673
1000.0,0.7563497296618438,0.7613664744592494
10000.0,0.7590450606529979,0.7590660637259846
100000.0,0.7440401712732031,0.7449755222280379
1000000.0,0.7728447517257739,0.7722247335446795
10000000.0,0.7408968335496253,0.7427459649260217
100000000.0,0.7622001801180966,0.7658925563500609
1000000000.0,0.7818804372211149,0.7850719750455419
10000000000.0,0.7454512495022063,0.7466951540379638
