n_neighbors,test,train
1,0.9019021739130434,0.9997961956521738
2,0.8970108695652174,0.9487092391304348
3,0.9040760869565216,0.9475543478260869
4,0.8961956521739131,0.9295516304347826
5,0.8997282608695653,0.9302309782608695
6,0.8970108695652174,0.9212635869565217
7,0.9013586956521739,0.9243206521739132
8,0.8972826086956521,0.9175271739130434
9,0.9027173913043478,0.9202445652173912
10,0.8983695652173914,0.9155570652173912
11,0.898913043478261,0.9165081521739131
12,0.8959239130434783,0.9114809782608695
13,0.8956521739130434,0.9124320652173914
14,0.8934782608695653,0.9070652173913043
15,0.8970108695652174,0.9087635869565217
16,0.8921195652173912,0.9003396739130436
17,0.8940217391304348,0.9036684782608695
18,0.8855978260869565,0.8980298913043478
19,0.8891304347826086,0.9003396739130436
20,0.8836956521739131,0.8942934782608696
21,0.8888586956521738,0.8990489130434783
22,0.8866847826086955,0.894429347826087
23,0.8894021739130435,0.8955842391304347
24,0.8850543478260869,0.8924592391304348
25,0.8869565217391304,0.8947690217391304
26,0.8801630434782609,0.8898097826086957
27,0.8853260869565217,0.8927309782608696
28,0.8823369565217393,0.8887228260869564
29,0.8845108695652174,0.891100543478261
30,0.8817934782608695,0.8877038043478261
31,0.8842391304347826,0.8899456521739129
32,0.8804347826086957,0.886820652173913
33,0.8817934782608695,0.8881793478260869
34,0.8779891304347827,0.8842391304347826
35,0.8801630434782608,0.8862771739130434
36,0.8736413043478262,0.882336956521739
37,0.8782608695652174,0.884375
38,0.8725543478260869,0.8797554347826088
39,0.8758152173913043,0.8822010869565217
40,0.8730978260869564,0.879008152173913
41,0.8760869565217393,0.8817934782608695
42,0.8730978260869564,0.8796195652173913
43,0.8758152173913043,0.8809782608695652
44,0.8728260869565216,0.8798233695652173
45,0.8752717391304348,0.8814538043478262
46,0.8722826086956521,0.878804347826087
47,0.8744565217391305,0.8813179347826086
48,0.8709239130434783,0.8780570652173914
49,0.8741847826086957,0.881046195652174
50,0.8722826086956521,0.8773777173913043
