max_depth,train,test
1,0.7947690217391304,0.7853260869565217
2,0.8645380434782609,0.8652173913043478
3,0.8948369565217391,0.8894021739130435
4,0.9150815217391305,0.9027173913043478
5,0.9265625,0.9057065217391302
6,0.9368206521739131,0.9133152173913043
7,0.9456521739130436,0.9171195652173914
8,0.9546195652173912,0.9184782608695652
9,0.9613451086956522,0.9165760869565217
10,0.9680027173913043,0.9138586956521738
11,0.9728260869565218,0.9160326086956522
12,0.9762907608695652,0.9146739130434783
13,0.9791440217391305,0.9144021739130436
14,0.9815896739130435,0.9122282608695652
15,0.9833559782608695,0.913586956521739
16,0.9849184782608695,0.9105978260869566
17,0.9876358695652174,0.9160326086956522
18,0.9889266304347826,0.9125
19,0.9900135869565219,0.913586956521739
20,0.9911684782608695,0.9114130434782609
21,0.992391304347826,0.9138586956521738
22,0.9934782608695653,0.9119565217391304
23,0.9951086956521739,0.9095108695652174
24,0.9963994565217392,0.9119565217391304
25,0.9970108695652173,0.9114130434782609
26,0.997758152173913,0.9081521739130434
27,0.998233695652174,0.9105978260869566
28,0.9987771739130435,0.9105978260869565
29,0.9991847826086957,0.9070652173913045
30,0.9995923913043478,0.9067934782608695
31,0.9995923913043478,0.9097826086956522
32,0.9995923913043478,0.9089673913043479
33,0.9996603260869567,0.9078804347826086
34,0.9997282608695652,0.9103260869565218
35,0.9997961956521738,0.9105978260869566
36,0.9997961956521738,0.9067934782608695
37,0.9997961956521738,0.9089673913043477
38,0.9997961956521738,0.9105978260869565
39,0.9997961956521738,0.9073369565217391
40,0.9997961956521738,0.9065217391304348
41,0.9997961956521738,0.9081521739130434
42,0.9997961956521738,0.9065217391304345
43,0.9997961956521738,0.9035326086956521
44,0.9997961956521738,0.9089673913043479
45,0.9997961956521738,0.9078804347826086
46,0.9997961956521738,0.9070652173913043
47,0.9997961956521738,0.9051630434782609
48,0.9997961956521738,0.9089673913043479
49,0.9997961956521738,0.9057065217391305
