max_depth,train,validation
1,0.7947690217391304,0.7853260869565217
2,0.8645380434782609,0.8654891304347826
3,0.8948369565217391,0.8894021739130435
4,0.9150815217391305,0.9027173913043478
5,0.9265625,0.9054347826086955
6,0.9368206521739131,0.9141304347826088
7,0.9456521739130436,0.9146739130434783
8,0.9546195652173912,0.9173913043478261
9,0.9613451086956522,0.9165760869565218
10,0.9679347826086957,0.9176630434782609
11,0.9728260869565218,0.9154891304347826
12,0.9762228260869567,0.9157608695652174
13,0.9792119565217392,0.9154891304347826
14,0.9815896739130435,0.9119565217391304
15,0.9833559782608695,0.9127717391304347
16,0.984850543478261,0.9111413043478261
17,0.9876358695652174,0.9149456521739131
18,0.9889266304347826,0.9122282608695652
19,0.9900135869565219,0.9130434782608695
20,0.9911684782608695,0.9119565217391304
21,0.992391304347826,0.9116847826086957
22,0.9934782608695653,0.9133152173913043
23,0.9951086956521739,0.9108695652173913
24,0.9963994565217392,0.9084239130434784
25,0.9970108695652173,0.9116847826086957
26,0.997758152173913,0.9078804347826088
27,0.9983016304347826,0.9067934782608695
28,0.9987771739130435,0.9051630434782607
29,0.9992527173913043,0.9048913043478262
30,0.9995923913043478,0.9108695652173914
31,0.9995923913043478,0.9040760869565216
32,0.9995923913043478,0.9092391304347827
33,0.9996603260869567,0.9059782608695652
34,0.9997282608695652,0.9065217391304348
35,0.9997961956521738,0.9081521739130436
36,0.9997961956521738,0.9051630434782607
37,0.9997961956521738,0.9073369565217391
38,0.9997961956521738,0.9054347826086957
39,0.9997961956521738,0.9084239130434781
40,0.9997961956521738,0.9051630434782609
41,0.9997961956521738,0.9046195652173912
42,0.9997961956521738,0.9067934782608698
43,0.9997961956521738,0.9065217391304348
44,0.9997961956521738,0.9086956521739129
45,0.9997961956521738,0.9076086956521738
46,0.9997961956521738,0.9092391304347827
47,0.9997961956521738,0.9081521739130436
48,0.9997961956521738,0.9076086956521738
49,0.9997961956521738,0.9073369565217391
