alpha,test,train
1e-10,0.8483984409801945,0.8645717309913751
4.641588833612773e-09,0.8483984409801945,0.8645717309913751
2.1544346900318867e-07,0.8483570073775428,0.86450956019451
1e-05,0.8480253152871746,0.8647582122498745
0.0004641588833612782,0.8477766449730627,0.8620023067380636
0.021544346900318867,0.8493931050620915,0.8674414983890966
1.0,0.851630897445393,0.8596916363686956
46.415888336127914,0.8093167641859103,0.8098242000564844
2154.4346900318865,0.7510464689661241,0.7510464592650686
100000.0,0.7510464689661241,0.7510464592650686
