n_estimators,train,validation
1,0.8307016642102368,0.8297904254028774
2,0.8425546581925529,0.8381204172127636
5,0.8520245513725326,0.8476939151641618
10,0.8593393670342359,0.8540348707776099
20,0.8699490502842618,0.8611629274450386
30,0.8763210196659094,0.8652660219769839
45,0.8814082715532979,0.8673798226942362
60,0.8852211214056009,0.8667580266871043
80,0.8896038281829466,0.8666753655764048
100,0.8923494869409014,0.8651419272636325
