alpha,train,validation
1e-05,0.9778532608695653,0.9429347826086956
0.0001,0.9774456521739129,0.9442934782608695
0.001,0.9768342391304348,0.9440217391304347
0.01,0.9771059782608695,0.942391304347826
0.1,0.9696331521739131,0.9442934782608695
1.0,0.9587635869565219,0.9402173913043479
10.0,0.9258152173913045,0.9230978260869567
