n_neighbors,train,test
1,0.9728940217391304,0.8529891304347826
2,0.9165081521739131,0.8540760869565217
3,0.9125679347826086,0.8652173913043478
4,0.8993206521739131,0.8625
5,0.8961956521739131,0.8695652173913043
6,0.890149456521739,0.8701086956521739
7,0.8880434782608697,0.8698369565217391
8,0.8816576086956521,0.8668478260869567
9,0.8814538043478262,0.8665760869565217
10,0.8796875,0.8652173913043478
11,0.8782608695652174,0.8673913043478262
12,0.8780570652173912,0.8641304347826086
13,0.8778532608695653,0.8657608695652174
14,0.8769701086956522,0.8660326086956521
15,0.8752038043478262,0.8660326086956521
16,0.8752038043478262,0.8663043478260869
17,0.8754076086956522,0.867663043478261
18,0.8723505434782609,0.861413043478261
19,0.872961956521739,0.8649456521739131
20,0.8726222826086957,0.8625
21,0.8727581521739131,0.8660326086956521
22,0.8708559782608696,0.8638586956521739
23,0.8698369565217391,0.8646739130434783
24,0.8694293478260869,0.8625
25,0.8703125,0.8660326086956524
26,0.8680706521739131,0.8627717391304348
27,0.8697690217391305,0.8641304347826086
28,0.8691576086956522,0.8627717391304348
29,0.86875,0.8627717391304348
30,0.8675951086956522,0.861413043478261
31,0.8690896739130436,0.8625
32,0.8674592391304348,0.8616847826086957
33,0.8680706521739131,0.8627717391304348
34,0.8664402173913043,0.8616847826086957
35,0.8680027173913043,0.8635869565217391
36,0.8660326086956521,0.861413043478261
37,0.8665081521739131,0.8611413043478262
38,0.865149456521739,0.8592391304347826
39,0.8665760869565217,0.8608695652173914
40,0.8655570652173912,0.8608695652173914
41,0.8663722826086957,0.8603260869565217
42,0.8655570652173912,0.8605978260869565
43,0.8663043478260869,0.8597826086956522
44,0.8646059782608697,0.8584239130434783
45,0.8655570652173914,0.8578804347826086
46,0.8642663043478261,0.8586956521739131
47,0.8652853260869566,0.8589673913043481
48,0.8639266304347826,0.8578804347826086
49,0.8648097826086957,0.8576086956521738
50,0.8629755434782609,0.857336956521739
