KNN__n_neighbors,train,test
1,1.0,0.6519117647058824
4,0.8127251221001222,0.7761764705882352
7,0.8220520451770452,0.737843137254902
10,0.7814735958485958,0.7629411764705882
13,0.7688743894993895,0.7511764705882353
16,0.7625251831501831,0.7629411764705882
19,0.7688743894993895,0.7629411764705882
22,0.75935057997558,0.7629411764705882
25,0.7625251831501831,0.7629411764705882
28,0.7625251831501831,0.7629411764705882
31,0.7625251831501831,0.7629411764705882
34,0.7625251831501831,0.7629411764705882
37,0.7625251831501831,0.7629411764705882
40,0.7625251831501831,0.7629411764705882
43,0.7625251831501831,0.7629411764705882
46,0.7625251831501831,0.7629411764705882
49,0.7625251831501831,0.7629411764705882
