n_neighbors,train,validation
1,0.9756310368624204,0.7893825641818313
2,0.8915828150483366,0.8099391269532026
3,0.8931265837917375,0.8178553151476313
4,0.8740312679184002,0.8216670863697402
5,0.8745907417524743,0.8202997431331317
6,0.8652244486752606,0.8225787630244813
7,0.8640329310164698,0.8217084856232914
8,0.8588317055970315,0.8247752592015336
9,0.8581271497517827,0.8255630644120775
10,0.8545008122900757,0.82560453236383
11,0.8543142977524386,0.8243198502379212
12,0.8520349323164604,0.8258118549480417
13,0.8514339744269364,0.8255629613647756
14,0.8494861057023566,0.8271792325337508
15,0.8489266018097066,0.8275936544330198
16,0.847185930070097,0.8269718069022371
17,0.8472066672669796,0.8279664538095837
18,0.8460773268461773,0.8265156079093098
19,0.8456629103323049,0.8275931220219597
20,0.8444402788267864,0.8285879921984606
21,0.8442434037421123,0.8290852297793823
22,0.8437357541136341,0.8287124647519191
23,0.8434352510146595,0.8286709109274148
24,0.8430104771743118,0.8284219829950483
25,0.8427100127220776,0.8292922603962383
26,0.841891494079985,0.8290436931294284
27,0.84145634036923,0.8280075610957793
28,0.8407414325651091,0.8276758518308608
29,0.8400783725840366,0.8280076469685309
30,0.8395706392209539,0.8274688212140046
31,0.8390629713426261,0.8284635883432033
32,0.838472404058715,0.8279247454141266
33,0.8381926445977461,0.8288779243697209
34,0.8377989405897827,0.8282978539325964
35,0.8377782227162707,0.8277590453526203
36,0.8370114917800745,0.8271372836945894
37,0.8373845111936633,0.8276346930210142
38,0.836296592564118,0.8273444345332976
39,0.8366488812219481,0.8273029150578944
40,0.8362033487143066,0.8266812736217155
41,0.8362551535965321,0.8278002900352186
42,0.8358199977387363,0.827510289165757
43,0.8356334778334963,0.8274689414358569
44,0.8355402329101643,0.8277176804481698
45,0.8351465170934749,0.8267642266997708
46,0.8348874765795384,0.8272616532007457
47,0.8348978489353017,0.82717866577359
48,0.8344730493304603,0.8276760407509143
49,0.8344212294189466,0.828214729109038
50,0.8345352212008462,0.8280905141738343
