alpha,test,train
0.1,0.8505120012537422,0.8678767938045668
1.6681005372000592,0.8493099115403318,0.8540449943818376
27.825594022071257,0.8275935857348184,0.8284326453655279
464.1588833612782,0.7503419774991922,0.7510671846532248
7742.636826811277,0.7510464689661241,0.7510464592650686
129154.96650148854,0.7510464689661241,0.7510464592650686
2154434.6900318866,0.7510464689661241,0.7510464592650686
35938136.638046406,0.7510464689661241,0.7510464592650686
599484250.3189421,0.7510464689661241,0.7510464592650686
10000000000.0,0.7510464689661241,0.7510464592650686
