alpha,test,train
1e-10,0.8483984409801945,0.8645717309913751
1.6681005372000592e-08,0.8483984409801945,0.8645717309913751
2.782559402207126e-06,0.8488543651803167,0.8675348399292799
0.0004641588833612782,0.8477766449730627,0.8620023067380636
0.07742636826811278,0.8500147464982701,0.86751416392307
12.915496650148826,0.8380376187056615,0.8396845730327425
2154.4346900318865,0.7510464689661241,0.7510464592650686
359381.36638046405,0.7510464689661241,0.7510464592650686
59948425.03189421,0.7510464689661241,0.7510464592650686
10000000000.0,0.7510464689661241,0.7510464592650686
