base_estimator__max_depth,train,test
1,0.8654146975668426,0.8633068353099631
2,0.8801804724395428,0.8662437086030315
3,0.8956685387683555,0.8565338714376047
4,0.9228437900810682,0.8457345705483933
5,0.9580708319658603,0.8313835055216897
6,0.995666181860015,0.8215793527874524
7,0.9999644774234013,0.8201579785777575
8,0.9999644774234013,0.8272626622408945
9,0.9999644774234013,0.8257471407227996
10,0.9999644774234013,0.8279731025638062
11,0.9999644774234013,0.8267893905753754
12,0.9999644774234013,0.8289679141979593
13,0.9999644774234013,0.8310043026430456
14,0.9999644774234013,0.8302465587100395
15,0.9999644774234013,0.8319046977521418
16,0.9999644774234013,0.8323310359804698
17,0.9999644774234013,0.8334201407487116
18,0.9999644774234013,0.8332306234395951
19,0.9999644774234013,0.834509424994725
20,0.9999644774234013,0.834746178609772
21,0.9999644774234013,0.8317147205312363
22,0.9999644774234013,0.8352672811013384
23,0.9999644774234013,0.8369723199285499
24,0.9999644774234013,0.8359777102068897
25,0.9999644774234013,0.836546250916879
26,0.9999644774234013,0.8373987366784027
27,0.9999644774234013,0.8376826592952156
28,0.9999644774234013,0.8350775955318112
29,0.9999644774234013,0.8332305337007094
30,0.9999644774234013,0.8356934959386985
31,0.9999644774234013,0.8376827602514618
32,0.9999644774234013,0.8380145136943222
33,0.9999644774234013,0.8356934061998128
34,0.9999644774234013,0.8371144887581293
35,0.9999644774234013,0.836830431532988
36,0.9999644774234013,0.8376353332503996
37,0.9999644774234013,0.8368301959684133
38,0.9999644774234013,0.8373511975037333
39,0.9999644774234013,0.8275473588555959
40,0.9999644774234013,0.8381090311756253
41,0.9999644774234013,0.8333258812667047
42,0.9999644774234013,0.8249906755689137
43,0.9999644774234013,0.8237116496665695
44,0.9999644774234013,0.8203013364475717
45,0.9999644774234013,0.8207748324603049
46,0.9999644774234013,0.8228115349914911
47,0.9999644774234013,0.8209169900725236
48,0.9999644774234013,0.8230011869089362
49,0.9999644774234013,0.8226696353785685
