C,test,train
0.01,0.898641304347826,0.896875
0.1,0.8445652173913043,0.8470788043478261
1.0,0.8347826086956521,0.8417798913043478
10.0,0.7991847826086957,0.8127717391304348
100.0,0.8133152173913045,0.8176630434782609
1000.0,0.7853260869565217,0.7980978260869566
10000.0,0.8432065217391305,0.8516983695652174
100000.0,0.7804347826086956,0.7855978260869565
1000000.0,0.8619565217391305,0.8625
10000000.0,0.8206521739130436,0.827649456521739
100000000.0,0.8298913043478262,0.8424592391304347
1000000000.0,0.8407608695652173,0.8497961956521738
10000000000.0,0.7668478260869565,0.7733016304347826
