n_estimators,train,test
1,0.9609476548057044,0.910560849789063
2,0.9708077832792796,0.9201920503454012
5,0.9985249049764159,0.9201848175595477
10,1.0,0.9375790243069979
20,1.0,0.9425537642198674
30,1.0,0.9475125866124048
45,1.0,0.9456511585224628
60,1.0,0.9518647595594792
80,1.0,0.9506191411458055
100,1.0,0.9583874676540816
