learning_rate,train,test
0.01,0.8407828811943802,0.8405240127048735
0.05,0.8424095632991314,0.8418917681306898
0.1,0.847900882962082,0.8461191291214896
0.3,0.8552882911583601,0.8518800314723635
1.0,0.8572671781863368,0.8489788205592248
