n_neighbors,train,test
1,1.0,0.6667156862745098
4,0.7875282356532356,0.7629411764705882
7,0.7562736568986569,0.7386764705882353
10,0.7625251831501831,0.7629411764705882
13,0.7625251831501831,0.7629411764705882
16,0.7625251831501831,0.7629411764705882
19,0.7625251831501831,0.7629411764705882
22,0.7625251831501831,0.7629411764705882
25,0.7625251831501831,0.7629411764705882
28,0.7625251831501831,0.7629411764705882
31,0.7625251831501831,0.7629411764705882
34,0.7625251831501831,0.7629411764705882
37,0.7625251831501831,0.7629411764705882
40,0.7625251831501831,0.7629411764705882
43,0.7625251831501831,0.7629411764705882
46,0.7625251831501831,0.7629411764705882
49,0.7625251831501831,0.7629411764705882
