n_estimators,train,test
1,0.9997671711292201,0.9065235886988227
2,1.0,0.9015551156028916
5,1.0,0.9118127410101803
10,1.0,0.908083622506237
20,1.0,0.9127458684798129
30,1.0,0.9115055673880509
45,1.0,0.9146130863927404
60,1.0,0.9174095708948924
80,1.0,0.9143039748422754
100,1.0,0.9143010859212876
