MLP__hidden_layer_sizes,test,train
"(70,)",0.8493931909348431,0.8665609560224569
"(35,)",0.846740907954071,0.8606032818468574
"(140,)",0.8481082511906795,0.862157649458862
"(70, 70)",0.8475281635790045,0.8631727415263478
"(35, 35)",0.8475278029134478,0.864975796619896
"(140, 140)",0.845994656568031,0.8699388861914896
"(70, 70, 70)",0.8480256587781809,0.871098913197832
"(35, 35, 35)",0.8437564863446225,0.8684776668859655
"(140, 140, 140)",0.8452892548499319,0.8725287373942383
