max_depth,train,validation
1,0.7510464592650686,0.7510464689661241
2,0.7972875162482705,0.7970080988738861
3,0.8156264467031604,0.8151605680911883
4,0.8307016642102368,0.8297075238484732
5,0.84477186034631,0.8411869331727514
6,0.8509780749311349,0.8467820667639175
7,0.8552778855234591,0.8495170108553891
8,0.8601475605554704,0.8514652832566382
9,0.8653280391163414,0.8548635084815445
10,0.869513881544219,0.8516726917136015
11,0.8743421090204798,0.8515069057793434
12,0.8799266779008448,0.8500977510999764
13,0.8858013624951331,0.8473624635174982
14,0.8920386694562742,0.8442541532893021
15,0.8984521293344949,0.8421818720474533
16,0.9058187917457261,0.8399027834579025
17,0.9128642535813611,0.8363796734903302
18,0.9192777241947876,0.8332302216268378
19,0.9260434491133859,0.8317795646466175
20,0.9322186024539907,0.8299975247179348
21,0.9383005237535105,0.828629683419367
22,0.9438539873753122,0.8267234972536819
23,0.9491277194476797,0.823988106623902
24,0.9534378959546437,0.8212943556913777
25,0.9570227837135594,0.8192638343686367
26,0.9606387649223116,0.8187249570904594
27,0.9635502063886239,0.8174817600908535
28,0.9661922553821276,0.8171917592213918
29,0.968129739942218,0.815740810273816
30,0.9702019277165963,0.8161557989332457
31,0.9719943753533762,0.8155752132596115
32,0.9735070656762279,0.8133788029553107
33,0.9746260466235137,0.8121352796392486
34,0.9757139384150447,0.8132127250536973
35,0.9765842544247191,0.8135028633195616
36,0.9772058969086173,0.8122182842409547
37,0.9777653857719791,0.8127984405508307
38,0.9782005394827339,0.8113478866179124
39,0.978511364482005,0.8125500106804235
40,0.9788429148694322,0.8107676787843854
41,0.979039770630736,0.8109333273222408
42,0.9792677101801914,0.8113893545696648
43,0.9794645648679744,0.8113479037924627
44,0.9795681735589049,0.8106848287536321
45,0.9796407016822455,0.8121767647655513
46,0.979744310373176,0.8118867123724387
47,0.9797650336142908,0.8122596663199554
48,0.9797961163289222,0.8123839671279107
49,0.9798064779494796,0.8129226554860344
