n_estimators,test,train
1,0.8654891304347826,0.8645380434782609
2,0.8847826086956522,0.8925951086956522
5,0.9057065217391305,0.9165760869565217
10,0.9244565217391305,0.9322690217391305
20,0.9434782608695652,0.9504755434782609
30,0.9470108695652174,0.9574048913043478
45,0.9489130434782609,0.9669157608695652
60,0.9478260869565218,0.972554347826087
80,0.9475543478260869,0.9800271739130435
100,0.944836956521739,0.9858016304347826
