alpha,test,train
1e-05,0.8466161606078074,0.8636187238391088
0.0001,0.8468647965728184,0.8667888826896654
0.001,0.8456215480495615,0.8630384655732474
0.01,0.8474864036598966,0.8629141100237494
0.1,0.845746346919476,0.8704880574486376
1.0,0.8488539529911089,0.8630590975651137
10.0,0.8382030954980136,0.8409797831170682
