n_estimators,train,test
1,0.8097826086956523,0.8076086956521739
11,0.8780570652173912,0.8728260869565216
21,0.8806385869565216,0.8755434782608695
31,0.8836956521739131,0.8766304347826088
41,0.8844429347826088,0.8760869565217391
51,0.8864130434782608,0.8771739130434784
61,0.8886548913043478,0.8777173913043477
71,0.8898777173913043,0.8779891304347827
81,0.8919157608695653,0.8785326086956523
91,0.8939538043478261,0.8793478260869566
101,0.8953125,0.8774456521739131
111,0.8958559782608695,0.8763586956521738
121,0.898233695652174,0.8763586956521741
131,0.9006114130434784,0.8782608695652174
141,0.9014945652173912,0.8766304347826088
151,0.902241847826087,0.8763586956521741
161,0.9034646739130435,0.875
171,0.9054347826086957,0.8755434782608695
181,0.9069293478260869,0.8752717391304348
191,0.9076086956521738,0.875
201,0.9079483695652174,0.8747282608695652
211,0.9097826086956522,0.875
221,0.912296195652174,0.8728260869565216
231,0.9134510869565217,0.8733695652173912
241,0.9143342391304348,0.8722826086956521
251,0.9152173913043479,0.8717391304347826
261,0.9163043478260869,0.8703804347826086
271,0.9168478260869565,0.8706521739130434
281,0.9174592391304348,0.8706521739130434
291,0.9186141304347826,0.8695652173913043
301,0.9198369565217392,0.86875
311,0.9212635869565217,0.8684782608695653
321,0.9220108695652174,0.8695652173913043
331,0.9227581521739129,0.8682065217391305
341,0.9226902173913043,0.8684782608695653
351,0.9238451086956522,0.8682065217391305
361,0.9249320652173912,0.86875
371,0.9255434782608697,0.8684782608695653
381,0.9264266304347826,0.8673913043478262
391,0.9274456521739131,0.8668478260869564
401,0.9283967391304347,0.8673913043478262
411,0.9289402173913043,0.8665760869565217
421,0.9291440217391305,0.8673913043478262
431,0.9299592391304348,0.867663043478261
441,0.9303668478260869,0.8665760869565219
451,0.93125,0.8665760869565219
461,0.9319972826086957,0.8660326086956524
471,0.9324048913043479,0.8660326086956521
481,0.933016304347826,0.8654891304347826
491,0.9339673913043477,0.8665760869565217
