max_depth,train,test
1,0.7947690217391304,0.7853260869565217
2,0.8645380434782609,0.8652173913043478
3,0.8948369565217391,0.8894021739130435
4,0.9150815217391305,0.9043478260869564
5,0.9264945652173914,0.9057065217391305
6,0.9368206521739131,0.9135869565217393
7,0.9456521739130436,0.9154891304347826
8,0.9545516304347826,0.9165760869565218
9,0.9613451086956522,0.9179347826086957
10,0.9679347826086957,0.9163043478260869
11,0.9728260869565218,0.913586956521739
12,0.9762907608695652,0.9130434782608695
13,0.9792119565217392,0.9103260869565217
14,0.9815896739130435,0.9141304347826088
15,0.9833559782608695,0.9089673913043479
16,0.984850543478261,0.910054347826087
17,0.9876358695652174,0.9152173913043476
18,0.9889266304347826,0.9133152173913043
19,0.9900135869565219,0.9089673913043479
20,0.9911684782608695,0.9130434782608697
21,0.992391304347826,0.9130434782608695
22,0.9934782608695653,0.910054347826087
23,0.9951086956521739,0.911141304347826
24,0.9963994565217392,0.9070652173913043
25,0.9970108695652173,0.9105978260869565
26,0.997758152173913,0.9057065217391305
27,0.9983016304347826,0.9105978260869565
28,0.9987771739130435,0.9092391304347827
29,0.9992527173913043,0.9111413043478261
30,0.9995923913043478,0.9116847826086957
31,0.9995923913043478,0.9086956521739131
32,0.9995923913043478,0.9067934782608695
33,0.9996603260869567,0.9048913043478259
34,0.9997282608695652,0.9059782608695652
35,0.9997961956521738,0.9089673913043479
36,0.9997961956521738,0.9067934782608695
37,0.9997961956521738,0.9067934782608695
38,0.9997961956521738,0.9073369565217391
39,0.9997961956521738,0.9081521739130434
40,0.9997961956521738,0.9065217391304348
41,0.9997961956521738,0.9095108695652174
42,0.9997961956521738,0.9051630434782609
43,0.9997961956521738,0.9051630434782609
44,0.9997961956521738,0.9065217391304348
45,0.9997961956521738,0.9097826086956522
46,0.9997961956521738,0.910054347826087
47,0.9997961956521738,0.9092391304347827
48,0.9997961956521738,0.9081521739130436
49,0.9997961956521738,0.9081521739130434
