C,test,train
0.01,0.8479010144792193,0.8498487624218676
0.1,0.848274122997689,0.8497865937720434
1.0,0.8479839847318248,0.8496933413340674
10.0,0.8329815856618266,0.835861374442129
100.0,0.7789381877199818,0.7820258904820936
1000.0,0.7535712223234805,0.7534512172714173
10000.0,0.7527026623773228,0.7543210265793817
100000.0,0.7726407266552242,0.7721304408652696
1000000.0,0.7413495632833877,0.7422496602629447
10000000.0,0.7644307420157126,0.76535549225792
100000000.0,0.7639736327716182,0.7638120949526369
1000000000.0,0.7590824067126729,0.7601236693551486
10000000000.0,0.7774461143116601,0.7773531077110853
