gamma,test,train
0.0001,0.7513780064855395,0.7515955950960379
0.001,0.8239873165945871,0.824951291151103
0.01,0.8335613984806962,0.836970042077283
0.1,0.7957228843369174,0.8030792831871263
1.0,0.7695719436545939,0.7736644534537154
10.0,0.7531187158588725,0.7544862907773032
100.0,0.7510464689661241,0.7510464592650686
