alpha,test,train
10.0,0.8391152015165128,0.8407621236006069
3.1622776601683795,0.846906436270074,0.8490405710476742
1.0,0.851630897445393,0.8596916363686956
0.31622776601683794,0.8500973045616679,0.8639605574800917
0.1,0.8505120012537422,0.8678767938045668
0.03162277660168379,0.8499733300701688,0.8665608518909614
0.01,0.8502220862570322,0.8663018478767246
0.0031622776601683794,0.8497661105332591,0.8663018403620804
0.001,0.8490614988444747,0.8636599019411957
0.00031622776601683794,0.8489787175119229,0.8646649726941454
0.0001,0.8486471971670578,0.867679885440755
3.1622776601683795e-05,0.8488957987829684,0.8635563973817606
1e-05,0.8480253152871746,0.8647582122498745
