learning_rate,train,validation
0.01,0.84898882520908,0.8437983321364818
0.05,0.8594637300983778,0.8549050623060482
0.1,0.8677007321367357,0.8595053428952643
0.3,0.8814082715532979,0.8673798226942362
1.0,0.8860293299561235,0.857807183470354
