n_neighbors,train,test
1,0.9794836956521739,0.8546195652173914
2,0.9283288043478262,0.8703804347826087
3,0.9252717391304348,0.8785326086956522
4,0.9120923913043478,0.8815217391304347
5,0.9083559782608696,0.8855978260869565
6,0.9060461956521738,0.8839673913043479
7,0.9020380434782609,0.8891304347826086
8,0.8997961956521741,0.8894021739130433
9,0.8991847826086957,0.8902173913043476
10,0.897961956521739,0.8896739130434783
11,0.8978260869565217,0.8907608695652174
12,0.8978940217391305,0.8902173913043478
13,0.8975543478260869,0.8934782608695653
14,0.8963315217391304,0.8915760869565217
15,0.8966032608695652,0.892391304347826
16,0.896399456521739,0.8904891304347826
17,0.8961956521739133,0.8932065217391305
18,0.8950407608695652,0.8932065217391305
19,0.8949728260869565,0.8940217391304348
20,0.8952445652173913,0.8948369565217392
21,0.8945652173913043,0.8942934782608696
22,0.8936141304347827,0.892663043478261
23,0.8935461956521739,0.8921195652173912
24,0.8940217391304349,0.8923913043478262
25,0.894633152173913,0.8918478260869567
26,0.8936820652173912,0.8904891304347826
27,0.8933423913043479,0.8915760869565219
28,0.8925271739130436,0.8910326086956522
29,0.8927309782608696,0.8910326086956524
30,0.8917119565217391,0.8902173913043478
31,0.8919157608695653,0.8891304347826088
32,0.8902853260869564,0.8894021739130435
33,0.8910326086956522,0.8904891304347826
34,0.8896059782608695,0.8877717391304347
35,0.8906929347826086,0.8883152173913043
36,0.8891983695652174,0.888586956521739
37,0.8900135869565219,0.8872282608695652
38,0.8893342391304347,0.8864130434782609
39,0.8900135869565219,0.8869565217391304
40,0.8885190217391304,0.8853260869565217
41,0.8889266304347826,0.8847826086956523
42,0.8872282608695652,0.8845108695652174
43,0.887703804347826,0.8850543478260869
44,0.8870923913043478,0.8839673913043479
45,0.8873641304347826,0.8839673913043479
46,0.8870923913043478,0.8842391304347826
47,0.886820652173913,0.8831521739130433
48,0.8864809782608696,0.8815217391304347
49,0.8864130434782608,0.8815217391304347
50,0.8860733695652174,0.8826086956521738
