n_neighbors,train,test
1,0.9794836956521739,0.8546195652173914
4,0.9120923913043478,0.8815217391304347
7,0.9020380434782609,0.8894021739130433
10,0.897961956521739,0.8896739130434783
13,0.8975543478260869,0.8934782608695653
16,0.896399456521739,0.8904891304347826
19,0.8949728260869565,0.8940217391304348
22,0.8936141304347827,0.892663043478261
25,0.894633152173913,0.8918478260869567
28,0.8925271739130436,0.8910326086956522
31,0.8919157608695653,0.8891304347826088
34,0.8896059782608695,0.8877717391304347
37,0.8900135869565219,0.8872282608695652
40,0.8885190217391304,0.8853260869565217
43,0.887703804347826,0.8850543478260869
46,0.8870923913043478,0.8842391304347826
49,0.8864130434782608,0.8815217391304347
