MLP__alpha,test,train
10.0,0.9233695652173914,0.925883152173913
3.1622776601683795,0.9334239130434783,0.9433423913043478
1.0,0.9342391304347826,0.9502038043478261
0.31622776601683794,0.9402173913043479,0.9665760869565216
0.1,0.9415760869565217,0.9674592391304347
0.03162277660168379,0.942391304347826,0.9695652173913045
0.01,0.94375,0.9781929347826088
0.0031622776601683794,0.9418478260869565,0.9750679347826088
0.001,0.9434782608695652,0.9794157608695653
0.00031622776601683794,0.9445652173913043,0.9793478260869565
0.0001,0.9434782608695652,0.9807744565217392
3.1622776601683795e-05,0.9440217391304347,0.9791440217391305
1e-05,0.9415760869565217,0.9747961956521738
