n_neighbors,train,test
1,0.9794836956521739,0.8548913043478261
4,0.9879755434782609,0.8826086956521738
7,0.9879755434782609,0.8894021739130433
10,0.9879755434782609,0.8959239130434782
13,0.9879755434782609,0.8978260869565217
16,0.9879755434782609,0.898641304347826
19,0.9879755434782609,0.8980978260869564
22,0.9879755434782609,0.8994565217391305
25,0.9879755434782609,0.8997282608695653
28,0.9879755434782609,0.8994565217391305
31,0.9879755434782609,0.898913043478261
34,0.9879755434782609,0.8983695652173912
37,0.9879755434782609,0.8991847826086957
40,0.9879755434782609,0.8975543478260869
43,0.9879755434782609,0.8972826086956521
46,0.9879755434782609,0.8975543478260869
49,0.9879755434782609,0.8961956521739131
