n_neighbors,train,test
1,0.9993783446338551,0.7878889965876315
2,0.8941730044100655,0.8093577684248039
3,0.8953955564750616,0.8151190142666843
4,0.8735650282724524,0.82162573863984
5,0.8735857966014315,0.8218334218896084
6,0.8641780463067821,0.8263916334178107
7,0.8643748859652772,0.8272209409292076
8,0.8607795979390639,0.8285884387367689
9,0.8602408570077898,0.8290856247940395
10,0.8574744546118293,0.8317794959484163
11,0.8570807570449894,0.8322353857994378
12,0.8551846620705387,0.8357164782296473
13,0.8547184031012206,0.8336443343842012
14,0.8529156303435828,0.8356336281988941
15,0.8534440418599166,0.8354679968355893
16,0.8520142155164688,0.8350952661572266
17,0.8524286309568208,0.8357583583706075
18,0.8517862577171635,0.8362140249524748
19,0.8515583224617906,0.8360069771610682
20,0.8502735673943118,0.8363384459822821
21,0.8502321037357529,0.8361313981908758
22,0.849206375226443,0.8371260450982223
23,0.8490405989592089,0.8370017614648173
24,0.8484085991488357,0.8370430233219659
25,0.8485329192721547,0.8375404154738405
26,0.8472585204576306,0.8376232998536942
27,0.8477869373415672,0.837664681932695
28,0.8468130104939213,0.838037481309259
29,0.8469269679231625,0.8382031985453156
30,0.846212033281027,0.8376645101871919
31,0.8465332306360613,0.8376645445362925
32,0.8459426461758213,0.8380374984838092
33,0.8464606939245565,0.8379131289776527
34,0.8458494087671333,0.8384518688594275
35,0.8458701277141658,0.8378716782004506
36,0.845424616676936,0.8381203485145624
37,0.8454453420650919,0.8372916764615275
38,0.8446889802640973,0.8377889312169995
39,0.8447097002846504,0.8373330585405281
40,0.8440984011714601,0.8371257874799675
41,0.8442745390592515,0.8369186709903598
42,0.8438186578132996,0.8378716953750012
43,0.8439326184631024,0.837540226553787
44,0.8436321389815802,0.8371670836862165
45,0.843963697957172,0.8370843023536649
46,0.8433420458115887,0.8369185335939571
47,0.8437046810606882,0.8365454594245882
48,0.84309338624158,0.8365041803928893
49,0.8432280894558681,0.836462609393835
50,0.8427411201276819,0.836628343804442
