max_depth,test,train
1,0.7510464689661241,0.7510464592650686
2,0.7970080988738861,0.7972875162482705
3,0.8151191173139862,0.8156264467031604
4,0.8297904254028774,0.8307016642102368
5,0.8410625808411452,0.84477186034631
6,0.8466577316068615,0.8509780749311349
7,0.8495584788071415,0.8552778855234591
8,0.8516724684444474,0.8601371989349129
9,0.8548635600051953,0.8653176785693045
10,0.8517970268706574,0.8694517139679154
11,0.8515482363346933,0.8743835544291892
12,0.8506366112036032,0.8798541508510247
13,0.847818422066721,0.8857806403275388
14,0.8440056375461431,0.892080113791463
15,0.8420988159220963,0.8983796055052368
16,0.8398197273325454,0.9059224015101772
17,0.8368769282458022,0.9129057011371117
18,0.8329814482654243,0.9193502533916487
19,0.832194003720437,0.9259191161078197
20,0.8285881639439637,0.9323532906389908
21,0.8276351223847722,0.9383419444712466
22,0.8256456224754753,0.9438021835666073
23,0.8229521463357561,0.9488168761985587
24,0.8200511415172211,0.9533653603166593
25,0.821418776721185,0.9570331582163636
26,0.8176063185170633,0.9604729972432422
27,0.8177303960558644,0.96365380649139
28,0.8157826045420246,0.9661818916145289
29,0.8155754708778664,0.9681919032244393
30,0.8156996514639694,0.9702641038810645
31,0.8142906857046557,0.9719011175477974
32,0.8130059177059952,0.973351646735469
33,0.8129230333261415,0.9747814720053961
34,0.8122600785091633,0.9758382692735698
35,0.8123012029699093,0.9766774896863659
36,0.8120525841794481,0.9773302331347449
37,0.8120939147347981,0.9776099657576995
38,0.8118451413733844,0.9782316146827211
39,0.8117625833099866,0.9785735309847879
40,0.8106847428808805,0.9789257960251655
41,0.8127570584718299,0.9790294100836989
42,0.813047076515842,0.9792780707272282
43,0.8106846226590283,0.979495646509085
44,0.8125495813166654,0.9795578119383475
45,0.8106436012455843,0.979682143870393
46,0.8118035531997798,0.979744310373176
47,0.8122179579244986,0.9797753952348482
48,0.8125911351411694,0.9797857557818851
49,0.8117207546926775,0.9798064779494796
