MLP__hidden_layer_sizes,test,train
"(57,)",0.933695652173913,0.9472146739130436
"(28,)",0.9230978260869565,0.9330842391304348
"(114,)",0.9355978260869566,0.953125
"(57, 57)",0.9402173913043479,0.9614809782608695
"(28, 28)",0.9353260869565216,0.9530570652173912
"(114, 114)",0.9421195652173913,0.9644701086956522
"(57, 57, 57)",0.9445652173913043,0.9793478260869565
"(28, 28, 28)",0.9315217391304348,0.9451086956521738
"(114, 114, 114)",0.9375,0.952649456521739
