max_depth,train,test
1,0.7947690217391304,0.7853260869565217
2,0.8645380434782609,0.8652173913043478
3,0.8948369565217391,0.8891304347826088
4,0.9150815217391305,0.9035326086956521
5,0.9265625,0.90625
6,0.9368206521739131,0.9125
7,0.9456521739130436,0.9154891304347826
8,0.9545516304347826,0.9160326086956522
9,0.9613451086956522,0.9163043478260869
10,0.9680027173913043,0.9133152173913045
11,0.9728260869565218,0.9152173913043479
12,0.9762228260869567,0.911141304347826
13,0.9792119565217392,0.9108695652173914
14,0.9815896739130435,0.9160326086956522
15,0.9833559782608695,0.9105978260869566
16,0.9849184782608695,0.913858695652174
17,0.9876358695652174,0.9144021739130436
18,0.9889266304347826,0.9149456521739131
19,0.9900135869565219,0.9127717391304347
20,0.9911684782608695,0.9141304347826088
21,0.992391304347826,0.9130434782608695
22,0.9934782608695653,0.9111413043478261
23,0.9951086956521739,0.9097826086956522
24,0.9963994565217392,0.9114130434782608
25,0.9970108695652173,0.9089673913043479
26,0.997758152173913,0.9095108695652174
27,0.9983016304347826,0.9084239130434784
28,0.9987771739130435,0.9081521739130436
29,0.9992527173913043,0.910054347826087
30,0.9995923913043478,0.9070652173913043
31,0.9995923913043478,0.9084239130434781
32,0.9995923913043478,0.9070652173913043
33,0.9996603260869567,0.9070652173913043
34,0.9997282608695652,0.90625
35,0.9997961956521738,0.9084239130434781
36,0.9997961956521738,0.9084239130434784
37,0.9997961956521738,0.9051630434782609
38,0.9997961956521738,0.9059782608695652
39,0.9997961956521738,0.910054347826087
40,0.9997961956521738,0.910054347826087
41,0.9997961956521738,0.9048913043478259
42,0.9997961956521738,0.9070652173913043
43,0.9997961956521738,0.9078804347826086
44,0.9997961956521738,0.9048913043478262
45,0.9997961956521738,0.9076086956521741
46,0.9997961956521738,0.9054347826086955
47,0.9997961956521738,0.9081521739130436
48,0.9997961956521738,0.9046195652173914
49,0.9997961956521738,0.9078804347826088
