Model Timing Curve: ann timing - adult,train,validaiton
2412,0.5066580000002432,0.06820699999934732
4825,0.35204800000065006,0.060336999999890395
7238,1.560116999999991,0.04675600000064151
9651,1.8600879999994504,0.043795999999929336
12064,1.8596830000005866,0.0340329999999085
14477,2.4217659999994794,0.027689000000464148
16890,2.00727199999983,0.02533099999982369
19303,2.7493709999998828,0.012580999999954656
21716,2.691447999999582,0.008127999999487656
