,train,test,samples
0.1,0.05576199999995879,0.0008689999999660358,368
0.2,0.04521599999998216,0.0008119999997688865,368
0.3,0.04415000000017244,0.0010140000003957539,368
0.4,0.03624900000022535,0.0010920000004261965,368
0.5,0.031251000000338536,0.001130000000102882,368
0.6,0.019417999999859603,0.0011359999998603598,368
0.7,0.014482999999927415,0.001209000000017113,368
0.8,0.010553000000072643,0.0011179999996784318,368
0.9,0.004465999999865744,0.001126000000112981,368
