Model Timing Curve: boositng timing - spam,train,validaiton
368,0.005286999999952968,0.0011379999996279366
736,0.36591299999963667,0.024864000000889064
1104,0.015513000000282773,0.0009269999991374789
1472,0.020564999998896383,0.0009269999991374789
1840,1.0070950000008452,0.01821600000039325
2208,1.2220570000008593,0.016847999999299645
2576,1.1413329999995767,0.012850999999500345
2944,1.366493999999875,0.009937999999237945
3312,1.695969000000332,0.007297000000107801
