,train,test,samples
0.1,0.05446299999994153,0.0007759999998597777,368
0.2,0.045600999999805936,0.001006999999844993,368
0.3,0.0427479999998468,0.0009770000001481094,368
0.4,0.03591099999994185,0.0010050000000774162,368
0.5,0.031432000000222615,0.0010990000000674627,368
0.6,0.019248999999945227,0.001498000000083266,368
0.7,0.014584000000013475,0.001366999999845575,368
0.8,0.01063300000032541,0.0013549999998758722,368
0.9,0.004647000000204571,0.0011509999999361753,368
