max_depth,test,train
1,0.000660000000010541,0.013926000000026306
2,0.0006999999999948159,0.022633000000013226
3,0.0008609999999862339,0.03099799999998254
4,0.0009749999999826287,0.03855899999999224
5,0.0009940000000199234,0.050036999999974796
6,0.0009540000000072268,0.058964000000003125
7,0.001010000000007949,0.0704860000000167
8,0.0010959999999897718,0.07411999999999352
9,0.0010159999999928004,0.0765260000000012
10,0.001216999999996915,0.08689200000000596
11,0.0012849999999957618,0.08999599999998509
12,0.0010540000000105465,0.09250700000001189
13,0.0011010000000055697,0.10363200000000461
14,0.0012560000000121363,0.10765900000001238
15,0.0011120000000062191,0.11744999999999095
16,0.0011669999999810443,0.12424799999999436
17,0.0014339999999890551,0.12615999999999872
18,0.0012989999999888369,0.12369799999999032
19,0.0013699999999801094,0.14784600000001547
20,0.0014280000000042037,0.13343799999998396
21,0.0012679999999818392,0.1313820000000021
22,0.0014030000000104792,0.13241100000001893
23,0.0017579999999952634,0.13498700000002373
24,0.0014930000000106247,0.131639999999976
25,0.0015919999999880474,0.12886499999999046
26,0.0016029999999886968,0.13188299999998776
27,0.0018689999999992324,0.1351760000000013
28,0.001654999999999518,0.13726900000000342
29,0.0015850000000057207,0.13745000000000118
30,0.0017599999999902138,0.14208199999998783
31,0.0019770000000107757,0.13857300000000805
32,0.0015530000000012478,0.14127199999998652
33,0.0016460000000222408,0.13722000000001344
34,0.001599999999996271,0.13506399999999985
35,0.001492999999982203,0.13027999999999906
36,0.0017799999999965621,0.13514800000001514
37,0.0017190000000084638,0.1402970000000039
38,0.0019100000000094042,0.13755999999997925
39,0.0016219999999975698,0.13671399999998357
40,0.0014730000000042764,0.1341380000000072
41,0.001578000000023394,0.13923800000000597
42,0.0014470000000130767,0.13602199999999698
43,0.0014669999999910033,0.13109199999999532
44,0.001582000000013295,0.13940999999999804
45,0.0015989999999987958,0.13270399999998972
46,0.0018249999999966349,0.140861000000001
47,0.0019289999999898555,0.13801599999999326
48,0.0016300000000057935,0.13657000000000608
49,0.0016219999999975698,0.133357999999987
