Model Timing Curve: decision_tree - spam,train,validaiton
368,0.00294199999999023,0.0007080000000030395
736,0.006826999999987038,0.00044000000002597517
1104,0.010103000000015072,0.0005900000000167438
1472,0.013836999999995214,0.00042600000000447835
1840,0.01708200000001625,0.0004749999999944521
2208,0.019572999999979857,0.0003839999999968313
2576,0.02318299999998885,0.0003630000000214295
2944,0.025452000000001362,0.0003059999999948104
3312,0.030335999999977048,0.00021900000001551234
