train_size,train,test
294,0.00045199999840406235,0.014760999998543411
588,0.0009660000014264369,0.04564799999934621
883,0.0014030000002094312,0.058973999999579974
1177,0.0012420000002748566,0.08364900000015041
1472,0.0013170000001991866,0.1122399999985646
1766,0.0013070000004518079,0.12692599999900267
2060,0.0013539999999920838,0.1439669999999751
2355,0.0014240000000427244,0.1671810000007099
2649,0.0014460000002145534,0.18671900000117603
