Model Timing Curve: boositng timing - adult,train,validaiton
2412,0.5570540000007895,0.1940839999988384
4825,1.2246169999998529,0.19168399999944086
7238,1.9807600000003731,0.16597900000124355
9651,2.5690150000009453,0.15464700000120501
12064,3.483075000000099,0.1327770000007149
14477,4.363438999998834,0.11490500000036263
16890,4.915655000000697,0.08665000000110012
19303,6.159079999999449,0.06166599999960454
21716,7.556529000001319,0.03725800000029267
