train_size,train,test
368,0.05520399999932124,0.027562000000216358
736,0.06743699999969976,0.02938799999992625
1104,0.07409199999983684,0.029591000000436907
1472,0.08561399999962305,0.024241999999503605
1840,0.10432099999979982,0.020679000000200176
2208,0.11579299999993964,0.021387000000686385
2576,0.14041200000065146,0.014470000000073924
2944,0.1485000000002401,0.011649000000033993
3312,0.18973800000003394,0.0097989999994752
