Model Timing Curve: boositng timing - spam,train,validaiton
368,0.004946999999447144,0.0010080000010930235
736,0.024106000000756467,0.001602999998794985
1104,0.015343999999458902,0.001036999999996624
1472,0.020663999999669613,0.0008629999992990633
1840,0.06395100000008824,0.0013739999994868413
2208,0.11374100000102771,0.001405999999406049
2576,1.3496689999992668,0.015200999998342013
2944,2.05255600000055,0.013277000000016415
3312,2.43287699999928,0.010107999998581363
