train_size,test,train
368,0.0006280000000060681,0.002891000000005306
736,0.0004689999999811789,0.00670699999997737
1104,0.0004940000000033251,0.00986900000000901
1472,0.00041499999997540726,0.01324299999998857
1840,0.00035700000000815635,0.01604399999999373
2208,0.00030200000000490945,0.01904100000001563
2576,0.00025199999998903877,0.022429000000016686
2944,0.00028600000001688386,0.02741100000000074
3312,0.00024000000001933586,0.029215999999991027
