Model Timing Curve: decision_tree - adult,train,validaiton
2412,0.00743700000001013,0.006959999999992306
4825,0.016780999999980395,0.003974999999996953
7238,0.0247190000000046,0.0028070000000184336
9651,0.036926999999991494,0.003246000000018512
12064,0.044729000000018004,0.0019029999999986558
14477,0.053873999999979105,0.0021140000000059445
16890,0.07057499999999095,0.0014050000000054297
19303,0.08129999999999882,0.0009210000000052787
21716,0.10583399999998733,0.000575999999995247
