train_size,test,train
294,0.00754400000005262,0.00037900000097579323
588,0.015621999998984393,0.0005249999994703103
883,0.020518999997875653,0.0006580000008398201
1177,0.028666999998677056,0.00044300000081420876
1472,0.03660699999818462,0.0006790000006731134
1766,0.04200200000195764,0.0009050000007846393
2060,0.04564100000061444,0.0011639999975159299
2355,0.05037799999990966,0.0013299999991431832
2649,0.0661130000007688,0.0012409999981173314
