train_size,train,test
368,0.10108299999774317,0.04098199999862118
736,0.12153000000034808,0.03244500000073458
1104,0.13924000000042724,0.03068400000120164
1472,0.1526239999984682,0.02609400000073947
1840,0.16902499999923748,0.02303600000232109
2208,0.19809499999973923,0.02331699999922421
2576,0.20523300000058953,0.018968000000313623
2944,0.24111700000139535,0.017201999999088002
3312,0.2570750000013504,0.013348999997106148
