train_size,test,train
368,0.031033999999635853,0.0054439999985334
736,0.03950500000064494,0.017086999998355168
1104,0.048569999999017455,0.0313640000003943
1472,0.050047999999151216,0.0525629999992816
1840,0.05401400000118883,0.08145700000022771
2208,0.05192900000110967,0.11087600000064413
2576,0.04249600000002829,0.1405830000003334
2944,0.03051699999923585,0.1811520000010205
3312,0.017665999999735504,0.2446170000002894
