n_estimators,test,train
1,0.00044800000068789814,0.022866999999678228
2,0.0006929999999556458,0.04351700000006531
5,0.0012390000010782387,0.11232299999937823
10,0.0022630000003118766,0.2185169999993377
20,0.004273999998986255,0.42755599999873084
30,0.00636800000029325,0.6545729999998002
45,0.009802000000490807,0.9721769999996468
60,0.012571000001116772,1.2784599999995407
80,0.02064799999971001,1.7147280000008323
100,0.024493999999322114,2.163291000000754
