Model Timing Curve: ann timing - spam,train,validaiton
368,0.14360200000010082,0.015147999999499007
736,0.17272500000035507,0.010567999999693711
1104,0.20569700000032753,0.009023999999953958
1472,0.24148999999943044,0.007568999999421067
1840,0.38085899999987305,0.0069670000002588495
2208,0.5773929999995744,0.006897000000208209
2576,0.9103629999999612,0.005114999999932479
2944,0.8238600000004226,0.005361999999877298
3312,0.7150060000003577,0.0037459999994098325
