train_size,test,train
2412,0.0033359999999902357,0.0015520000000037726
4825,0.0020590000000026976,0.0028459999999768115
7238,0.0017789999999990869,0.004125999999985197
9651,0.001681999999988193,0.006022000000001526
12064,0.001386999999994032,0.0070200000000113505
14477,0.0011960000000215132,0.00845100000000798
16890,0.000918000000012853,0.012888000000003785
19303,0.0007429999999999382,0.013756000000000768
21716,0.00037500000001955414,0.017971000000017057
