Model Timing Curve: knn_timing - spam,train,validation
294,0.00031799999851500615,0.006378999998560175
588,0.00043400000140536577,0.010818999999173684
883,0.0005629999977827538,0.01718299999993178
1177,0.00051299999904586,0.02128199999788194
1472,0.0006830000020272564,0.02873399999953108
1766,0.000818000000435859,0.03157599999758531
2060,0.0009250000002793968,0.039907999998831656
2355,0.001224999999976717,0.04715399999986403
2649,0.001684999999270076,0.05180800000016461
