Model Timing Curve: decision_tree - max_depth - spam,test,train
1,0.0003530000000182554,0.004465999999979431
2,0.00020799999998644125,0.007952999999986332
3,0.0002920000000017353,0.012407999999993535
4,0.00020599999999149077,0.015416999999985137
5,0.00023500000000353793,0.016547000000002754
6,0.00022899999999026477,0.01951800000000503
7,0.00034800000000245745,0.024364999999988868
8,0.0003789999999810334,0.025587999999999056
9,0.00024899999999661304,0.02909399999998641
10,0.0002829999999960364,0.031258000000008224
11,0.0002819999999985612,0.038204000000007454
12,0.0003879999999867323,0.03692200000000412
13,0.0003379999999992833,0.03490800000000149
14,0.00032999999999105967,0.035406999999992195
15,0.00030699999999228567,0.03697499999998399
16,0.000319000000018832,0.038690000000002556
17,0.0003489999999999327,0.0378300000000138
18,0.0003099999999847114,0.03969900000001303
19,0.0002939999999966858,0.04347100000001092
20,0.00029699999998911153,0.04476700000000733
21,0.0003370000000018081,0.04504199999999514
22,0.0003930000000025302,0.04168500000000108
23,0.00029299999999921056,0.04375699999999938
24,0.000298999999984062,0.0437740000000133
25,0.0003080000000181826,0.047606000000001814
26,0.0002819999999985612,0.04335700000001452
27,0.00028599999998846215,0.04774299999999698
28,0.00025800000000231194,0.038952999999992244
29,0.00039100000000757973,0.04709199999999214
30,0.00031999999998788553,0.043741000000011354
31,0.00042600000000447835,0.040104000000013684
32,0.0002389999999934389,0.04433199999999715
33,0.00026500000001306034,0.045847000000009075
34,0.0003379999999992833,0.04359700000000544
35,0.00048100000000772525,0.042490000000015016
36,0.0002599999999972624,0.04460399999999254
37,0.00025000000002251,0.045838000000003376
38,0.00029299999999921056,0.041841000000005124
39,0.00029699999998911153,0.03939399999998727
40,0.00030900000001565786,0.04329500000000053
41,0.0002819999999985612,0.04264900000001148
42,0.00025800000000231194,0.04113999999998441
43,0.00024400000000923683,0.045834000000013475
44,0.0002340000000060627,0.0392620000000079
45,0.00031300000000555883,0.04273199999997246
46,0.0002940000000251075,0.04881599999998798
47,0.0002800000000036107,0.04177000000001385
48,0.00028599999998846215,0.04141899999999055
49,0.0002690000000029613,0.04262399999998934
