,train,test,samples
0.1,0.055952000000161206,0.0011100000001533772,368
0.2,0.04680000000007567,0.000800999999682972,368
0.3,0.0425279999999475,0.0012179999998807034,368
0.4,0.036820999999690684,0.0011650000001282024,368
0.5,0.03165400000034424,0.0012639999999919382,368
0.6,0.01915599999983897,0.0011439999998401618,368
0.7,0.01421699999991688,0.0011369999997441482,368
0.8,0.010471999999936088,0.0011099999996986298,368
0.9,0.004605000000083237,0.0011519999998199637,368
